1;Dojo Burgien;1 rue du Docteur DUBY;BOURG EN BRESSE;1000;1
2;Saint-Denis Dojo;239 Allées des sports;ST DENIS LES BOURG;1000;1
3;Judo Club Vallée Arbent;rue du Général ANDREA;ARBENT;1100;1
4;Belli Judo;1 rue du Bac;BELLIGNAT;1100;1
5;Racing Club Montluel Judo;170 rue des Chartinières;DAGNEUX;1120;1
6;Centre Arts Martiaux Pondinois;rue de l'Oiselon;PONT D AIN;1160;1
7;Judo Club Ornex;58 rue des Pralets;ORNEX;1210;1
8;Dojo Gessien Valserine;Avenue des Voirons;DIVONNE LES BAINS;1220;1
9;Dojo La Vallière;Complexe Sportif;MONTAGNAT;1250;1
10;Football club Merville;Rue Emile Pouvillon;MERVILLE;31330;2
11;Football Club Bassin d'Arcachon;Boulevard Mestrezat - Stade jean Brousse;ARCACHON;33120;3
12;Andernos Sport Football Club;Plaine des Sports Jacques Rosazza;ANDERNOS LES BAINS;33510;3
